0	0	2	2
0	1	2	0
1	0	2	2
1	2	2	2
2	0	2	2
2	3	2	0
2	1	2	0
2	4	2	0
2	5	2	0
3	6	2	2
3	0	2	2
3	7	2	1
3	1	2	0
3	4	2	0
4	0	2	2
4	1	2	2
4	4	2	0
4	8	2	0
4	9	2	2
5	6	2	0
5	0	2	1
5	3	2	0
5	1	2	2
5	2	2	2
6	0	2	2
7	0	2	1
7	7	2	1
7	1	2	2
7	10	2	2
7	2	2	2
8	6	2	1
8	3	2	1
8	1	2	0
8	8	2	2
8	11	2	0
9	0	2	1
9	3	2	1
9	1	2	1
9	4	2	1
9	12	2	1
10	0	2	2
10	3	2	0
10	1	2	0
10	4	2	1
10	13	2	1
11	0	2	1
11	1	2	1
11	4	2	0
11	8	2	2
11	9	2	1
12	0	2	2
12	3	2	1
12	1	2	2
12	10	2	2
12	14	2	2
13	15	2	2
13	16	2	1
13	1	2	1
13	4	2	1
13	13	2	1
14	0	2	1
14	1	2	0
14	4	2	0
14	17	2	2
14	18	2	0
15	19	2	0
15	20	2	2
15	0	2	1
15	1	2	2
15	21	2	0
16	0	2	2
16	1	2	0
16	4	2	0
16	8	2	1
16	13	2	2
17	0	2	2
17	16	2	1
17	1	2	2
17	4	2	2
17	13	2	1
18	22	2	1
18	8	2	2
18	23	2	1
18	24	2	1
19	25	2	2
19	0	2	2
19	1	2	2
19	4	2	2
19	13	2	1
20	3	2	0
20	1	2	0
20	12	2	2
20	21	2	1
20	14	2	1
21	3	2	1
21	1	2	2
21	8	2	2
21	26	2	1
21	27	2	1
22	0	2	2
22	1	2	2
22	28	2	2
22	29	2	1
22	24	2	2
23	3	2	1
23	1	2	2
23	4	2	2
23	30	2	2
23	31	2	2
24	32	2	1
24	6	2	1
24	0	2	2
24	1	2	0
24	2	2	2
25	0	2	1
25	1	2	2
25	4	2	1
25	10	2	0
26	1	2	0
26	33	2	1
26	10	2	2
26	14	2	1
26	2	2	2
27	0	2	2
27	1	2	2
27	34	2	1
27	35	2	2
27	14	2	2
28	6	2	1
28	0	2	2
28	15	2	1
28	1	2	0
29	0	2	2
29	1	2	2
29	4	2	1
29	17	2	2
29	13	2	1
30	6	2	1
30	0	2	2
30	3	2	1
30	1	2	2
30	4	2	1
31	25	2	0
31	0	2	1
31	3	2	1
31	1	2	0
31	4	2	1
32	0	2	1
32	1	2	1
32	4	2	0
32	36	2	1
32	13	2	2
33	0	2	2
33	1	2	0
33	4	2	2
33	8	2	2
34	0	2	2
34	3	2	0
34	1	2	0
34	8	2	2
34	14	2	1
35	6	2	1
35	15	2	2
35	1	2	1
35	8	2	2
35	14	2	2
36	1	2	1
36	37	2	1
36	34	2	1
36	14	2	1
36	2	2	2
37	3	2	1
37	1	2	1
37	9	2	2
37	14	2	2
37	2	2	2
38	0	2	2
38	1	2	1
38	23	2	1
38	35	2	1
